"","workclass","marital_status","occupation","relationship","race","sex","native_country","income","age","education_num","hours_per_week","capital"
"1","State-gov","Never-married","Adm-clerical","Not-in-family","White","Male","USA","<=50K",39,13,40,2174
"2","Private","Never-married","Prof-specialty","Not-in-family","White","Female","USA",">50K",31,14,50,14084
"3","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",42,13,40,5178
"4","Private","Married","Machine-op-inspct","Husband","White","Male","USA","<=50K",30,9,40,5013
"5","Private","Married","Sales","Husband","White","Male","USA","<=50K",30,13,40,2407
"6","Private","Divorced","Craft-repair","Not-in-family","White","Female","USA",">50K",44,9,40,14344
"7","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",44,13,60,15024
"8","Self-emp-inc","Married","Craft-repair","Husband","White","Male","USA",">50K",32,9,40,7688
"9","Private","Married","Sales","Wife","White","Female","USA","<=50K",28,10,25,4064
"10","Self-emp-not-inc","Married","Craft-repair","Husband","White","Male","USA","<=50K",38,9,35,4386
"11","Federal-gov","Never-married","Exec-managerial","Not-in-family","White","Female","USA",">50K",40,14,55,14084
"12","Private","Married","Prof-specialty","Other-relative","White","Male","USA",">50K",35,14,40,7298
"13","Private","Married","Other-service","Husband","Black","Male","USA",">50K",36,13,36,7298
"14","Self-emp-inc","Married","Sales","Wife","White","Female","USA",">50K",58,9,35,15024
"15","Self-emp-not-inc","Married","Farming-fishing","Husband","White","Male","USA","<=50K",66,9,50,1409
"16","Private","Separated","Transport-moving","Not-in-family","Black","Male","USA","<=50K",35,7,40,3674
"17","Private","Married","Sales","Husband","White","Male","USA","<=50K",59,10,40,4064
"18","Private","Never-married","Other-service","Own-child","White","Male","USA","<=50K",17,5,24,1055
"19","Self-emp-not-inc","Married","Farming-fishing","Husband","White","Male","USA","<=50K",50,14,98,2407
"20","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",44,10,40,7298
"21","Private","Married","Machine-op-inspct","Wife","White","Female","USA",">50K",24,10,48,7298
"22","Local-gov","Married","Craft-repair","Husband","White","Male","USA",">50K",42,10,40,5178
"23","Federal-gov","Married","Sales","Husband","White","Male","USA",">50K",57,14,40,15024
"24","Private","Married","Adm-clerical","Husband","White","Male","USA",">50K",48,13,40,7688
"25","Private","Married","Sales","Husband","White","Male","USA",">50K",55,9,40,4386
"26","Private","Married","Exec-managerial","Husband","Asian-Pac-Islander","Male","Other",">50K",34,14,35,7298
"27","Private","Never-married","Transport-moving","Not-in-family","White","Male","USA","<=50K",66,9,55,2050
"28","Private","Married","Craft-repair","Husband","White","Male","USA",">50K",38,11,40,7298
"29","State-gov","Married","Protective-serv","Husband","White","Male","USA",">50K",36,9,40,7298
"30","State-gov","Married","Exec-managerial","Husband","White","Male","Other",">50K",34,13,45,7688
"31","Private","Married","Exec-managerial","Husband","White","Male","USA",">50K",46,16,60,15024
"32","Private","Never-married","Handlers-cleaners","Own-child","White","Male","USA","<=50K",17,7,18,2176
"33","Self-emp-not-inc","Married","Prof-specialty","Not-in-family","White","Female","USA","<=50K",40,13,40,2174
"34","Local-gov","Never-married","Farming-fishing","Not-in-family","Black","Male","USA","<=50K",34,9,60,594
"35","Private","Married","Sales","Husband","White","Male","USA",">50K",38,13,60,15024
"36","Self-emp-inc","Married","Exec-managerial","Husband","White","Male","USA",">50K",38,13,80,15024
